區域別,村里,全名,latitude,longitude
臺北市松山區,,臺北市松山區,25.0541591,121.5638621
臺北市松山區,莊敬里,臺北市松山區莊敬里,25.0721568,121.5669693
臺北市松山區,東榮里,臺北市松山區東榮里,25.0604219,121.557694
臺北市松山區,三民里,臺北市松山區三民里,25.0596604,121.5623318
臺北市松山區,新益里,臺北市松山區新益里,25.0620451,121.5676828
臺北市松山區,富錦里,臺北市松山區富錦里,25.0600662,121.5648289
臺北市松山區,新東里,臺北市松山區新東里,25.0573948,121.5705365
臺北市松山區,富泰里,臺北市松山區富泰里,25.05783,121.5644722
臺北市松山區,介壽里,臺北市松山區介壽里,25.0574338,121.559121
臺北市松山區,精忠里,臺北市松山區精忠里,25.0649138,121.5526993
臺北市松山區,東光里,臺北市松山區東光里,25.0527836,121.561975
臺北市松山區,龍田里,臺北市松山區龍田里,25.0551182,121.557694
臺北市松山區,東昌里,臺北市松山區東昌里,25.0575322,121.5544832
臺北市松山區,東勢里,臺北市松山區東勢里,25.0527232,121.5551967
臺北市松山區,中華里,臺北市松山區中華里,25.0541473,121.5505587
臺北市松山區,民有里,臺北市松山區民有里,25.060115,121.547109
臺北市松山區,民福里,臺北市松山區民福里,25.063112,121.5462773
臺北市松山區,慈祐里,臺北市松山區慈祐里,25.0507461,121.5762438
臺北市松山區,安平里,臺北市松山區安平里,25.052847,121.566922
臺北市松山區,鵬程里,臺北市松山區鵬程里,25.0554159,121.5676828
臺北市松山區,自強里,臺北市松山區自強里,25.0550991,121.563402
臺北市松山區,吉祥里,臺北市松山區吉祥里,25.050468,121.560548
臺北市松山區,新聚里,臺北市松山區新聚里,25.0501126,121.5676828
臺北市松山區,復盛里,臺北市松山區復盛里,25.0468264,121.559121
臺北市松山區,中正里,臺北市松山區中正里,25.051632,121.546611
臺北市松山區,中崙里,臺北市松山區中崙里,25.0462094,121.5448501
臺北市松山區,美仁里,臺北市松山區美仁里,25.0498332,121.5519858
臺北市松山區,吉仁里,臺北市松山區吉仁里,25.0465976,121.5530561
臺北市松山區,敦化里,臺北市松山區敦化里,25.0461912,121.5505587
臺北市松山區,復源里,臺北市松山區復源里,25.0462614,121.5544832
臺北市松山區,復建里,臺北市松山區復建里,25.0461728,121.556267
臺北市松山區,復勢里,臺北市松山區復勢里,25.0501507,121.556267
臺北市松山區,福成里,臺北市松山區福成里,25.0468634,121.5477044
臺北市松山區,松基里,臺北市松山區松基里,25.0564818,121.5462773
臺北市信義區,,臺北市信義區,25.0287024,121.5769572
臺北市信義區,西村里,臺北市信義區西村里,25.0357054,121.5641155
臺北市信義區,正和里,臺北市信義區正和里,25.0366343,121.5587643
臺北市信義區,興隆里,臺北市信義區興隆里,25.0398605,121.560548
臺北市信義區,中興里,臺北市信義區中興里,25.0326563,121.5587643
臺北市信義區,新仁里,臺北市信義區新仁里,25.0444919,121.563402
臺北市信義區,興雅里,臺北市信義區興雅里,25.0408315,121.5676828
臺北市信義區,敦厚里,臺北市信義區敦厚里,25.0444729,121.5691097
臺北市信義區,廣居里,臺北市信義區廣居里,25.0398229,121.5719634
臺北市信義區,安康里,臺北市信義區安康里,25.0363401,121.5726768
臺北市信義區,六藝里,臺北市信義區六藝里,25.044384,121.5708932
臺北市信義區,雅祥里,臺北市信義區雅祥里,25.0481141,121.5705365
臺北市信義區,五常里,臺北市信義區五常里,25.0463631,121.5737469
臺北市信義區,五全里,臺北市信義區五全里,25.0443743,121.5737469
臺北市信義區,永吉里,臺北市信義區永吉里,25.0474218,121.5790974
臺北市信義區,長春里,臺北市信義區長春里,25.0427122,121.5751737
臺北市信義區,四育里,臺北市信義區四育里,25.0480946,121.5762438
臺北市信義區,四維里,臺北市信義區四維里,25.0443646,121.5766005
臺北市信義區,永春里,臺北市信義區永春里,25.0434446,121.5790974
臺北市信義區,富台里,臺北市信義區富台里,25.0415546,121.5744603
臺北市信義區,國業里,臺北市信義區國業里,25.0375675,121.5773139
臺北市信義區,松隆里,臺北市信義區松隆里,25.0316711,121.5812375
臺北市信義區,松友里,臺北市信義區松友里,25.032351,121.576089
臺北市信義區,松光里,臺北市信義區松光里,25.0398828,121.5787407
臺北市信義區,中坡里,臺北市信義區中坡里,25.0314933,121.5848043
臺北市信義區,中行里,臺北市信義區中行里,25.0356289,121.5869443
臺北市信義區,大道里,臺北市信義區大道里,25.0414461,121.5819509
臺北市信義區,大仁里,臺北市信義區大仁里,25.0387946,121.5819509
臺北市信義區,景新里,臺北市信義區景新里,25.0312326,121.563402
臺北市信義區,惠安里,臺北市信義區惠安里,25.0226049,121.5662559
臺北市信義區,三張里,臺北市信義區三張里,25.0292346,121.5662559
臺北市信義區,三犁里,臺北市信義區三犁里,25.0310368,121.5726768
臺北市信義區,六合里,臺北市信義區六合里,25.0217371,121.578384
臺北市信義區,泰和里,臺北市信義區泰和里,25.0184501,121.5698231
臺北市信義區,景聯里,臺北市信義區景聯里,25.0295888,121.559121
臺北市信義區,景勤里,臺北市信義區景勤里,25.0269368,121.559121
臺北市信義區,雙和里,臺北市信義區雙和里,25.0236129,121.561975
臺北市信義區,嘉興里,臺北市信義區嘉興里,25.0276883,121.5573373
